text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",1,4,IBYBdfbTbWOo8kvImtOfCiuNw80,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",1,5,IBkAd8jqpxqDm0pmn9YRL8jL48g,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",1,6,IBYBdfoOpZwvUEs4iVAmsQcLfCs,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",1,7,IBYBdX2bqqQw80yQjEn6AGg4jGw,n.t,n.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",1,8,IBYBdc811xEtLEiYvXEtKBngk4U,rḏi̯.t,rḏi̯.t,𓂋𓐰𓂝𓐰𓏏,𓂋𓂝𓏏,"['𓂋', '𓂝', '𓏏']",550028,rḏi̯,VERB,,veranlassen; zulassen (dass),,,0.0,"['𓂋', '𓂝', '𓏏']","['complete', 'complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",1,9,IBYBdT3vXXhsPEdQir0r2XILM80,šsp,šsp,𓊏𓊪𓐰𓂝,𓊏𓊪𓂝,"['𓊏', '𓊪', '𓂝']",157160,šzp,VERB,,empfangen; ergreifen,,,0.0,"['𓊏', '𓊪', '𓂝']","['complete', 'complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",1,10,IBYBdRpF4vDmOEx9tj5FELC6JUM,ꞽb,ꞽb,𓄣𓏤,𓄣𓏤,"['𓄣', '𓏤']",23290,ꞽb,NOUN,,Herz; Verstand; Charakter; Wunsch,,,0.0,"['𓄣', '𓏤']","['complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",1,11,IBYBdXUMXxndZUTsnk6EEy79GIM,tʾ,tʾ,𓏏𓐰𓏐𓏒𓐰𓏥,𓏏𓏐𓏒𓏥,"['𓏏', '𓏐', '𓏒', '𓏥']",168810,tʾ,NOUN,,Brot (allg.),,,0.0,"['𓏏', '𓏐', '𓏒', '𓏥']","['complete', 'complete', 'complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",2,1,IBYBdQFPaNHYaEhfvKtvOHLyQD0,ꞽwf,ꞽwf,𓇋𓏲𓐰𓆑𓄹𓐰𓏥,𓇋𓏲𓆑𓄹𓏥,"['𓇋', '𓏲', '𓆑', '𓄹', '𓏥']",22520,ꞽwf,NOUN,,Fleisch; Körper,,,0.0,"['𓇋', '𓏲', '𓆑', '𓄹', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",2,3,IBYBdc1ZecVA4UO9gWNENuJEAbU,ḏdꜣ,ḏdꜣ,𓆓𓐰𓂧𓄿𓏯𓐰𓏛,𓆓𓂧𓄿𓏯𓏛,"['𓆓', '𓂧', '𓄿', '𓏯', '𓏛']",186080,ḏdꜣ,ADJ,,fett,,,0.0,"['𓆓', '𓂧', '𓄿', '𓏯', '𓏛']","['complete', 'complete', 'complete', 'complete', 'complete']"
7RRQAVSPNFFTRNFXVC7JTPGQM4,"Medizinische Texte || pEbers || 50,21-51,14 = Eb 284-293: Mittel zur Appetitanregung und/oder gegen Essstörungen",2,4,IBYBdWFDQQUroE0Pr3TW2vIDUDo,rʾ-16,rʾ-16,𓂋𓐰𓎆𓏼𓐰𓏼,𓂋𓎆𓏼𓏼,"['𓂋', '𓎆', '𓏼', '𓏼']",600569,1...n+++1/+2...1/n,NUM,,[Bruchzahl],,,0.0,"['𓂋', '𓎆', '𓏼', '𓏼']","['complete', 'complete', 'complete', 'complete']"
