text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",1,3,IBYCZItir2m9Q0FGqKnR1pWWqw0,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",1,4,IBkAd5pK0EqV4UganYpO8S6TmYQ,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",1,5,IBYCZCJGo8WkrkpkmfKSXHcYnSA,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",1,6,IBYCZBElJxaEMkecmv5vH63e7N0,n.t,n.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",1,7,IBYCZMefLpS7t0pjj5QHWzuPey8,smꜣ,smꜣ,𓌪𓐰𓂝,𓌪𓂝,"['𓌪', '𓂝']",134370,smꜣ,VERB,,schlachten; töten,,,0.0,"['𓌪', '𓂝']","['complete', 'complete']"
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",1,8,IBYCZEFJ1BWiFE3So4AzZJY4ws4,gḥ.w,gḥ.w,𓎼𓎛𓏲𓆈𓐰𓏥,𓎼𓎛𓏲𓆈𓏥,"['𓎼', '𓎛', '𓏲', '𓆈', '𓏥']",168190,gḥ.w,NOUN,,[eine Krankheit],,,0.0,"['𓎼', '𓎛', '𓏲', '𓆈', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",2,1,IBYCZFCsKA4v0kLitvpKUSm8mm0,⸮bꞽk-nṯr.ꞽ?,bꞽk-nṯr.ꞽ,𓊹𓅄𓐎𓐰𓏥,𓊹𓅄𓐎𓏥,"['𓊹', '𓅄', '𓐎', '𓏥']",865724,ꞽnnk,ROOT,,[Pflanze],,,0.0,"['𓊹', '𓅄', '𓐎', '𓏥']","['complete', 'complete', 'complete', 'complete']"
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",2,2,IBYCZBAjCB7VQ0UdgzPMUOvLW1Q,rʾ-16,rʾ-16,𓂋𓐰𓎆𓏼𓐰𓏼,𓂋𓎆𓏼𓏼,"['𓂋', '𓎆', '𓏼', '𓏼']",600569,1...n+++1/+2...1/n,NUM,,[Bruchzahl],,,0.0,"['𓂋', '𓎆', '𓏼', '𓏼']","['complete', 'complete', 'complete', 'complete']"
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",2,3,IBYCZLtSBeoC10WTgljoMQ7mKAs,(ꞽ)ḫ.t,ꞽḫ.t,𓐍𓐰𓏏𓏛𓐰𓏥,𓐍𓏏𓏛𓏥,"['𓐍', '𓏏', '𓏛', '𓏥']",850967,ꞽḫ.t,NOUN,,Etwas; etwas,,,0.0,"['𓐍', '𓏏', '𓏛', '𓏥']","['complete', 'complete', 'complete', 'complete']"
B7UO6AAVTRD27PUKXLYONP4X2U,"Medizinische Texte || pEbers || 55,2-55,20 = Eb 326-335: Heilmittel gegen die $gḥ.w$-Krankheit",2,4,IBYCZOnAKETVckFai16fOGxfSiA,ꞽm.ꞽ.t,ꞽm.ꞽ.t,𓏶𓅓𓐰𓏏,𓏶𓅓𓏏,"['𓏶', '𓅓', '𓏏']",25130,ꞽm.ꞽ,ADJ,,befindlich in (lokal); befindlich in (temporal); darunter (soziativ); seiend als,,,0.0,"['𓏶', '𓅓', '𓏏']","['complete', 'complete', 'complete']"
