text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,3,IBUBd5RWDWAsWUvomEHdplTNepk,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,4,IBkAd8JOFWv78k0tlPfwwLY8rIc,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,5,IBUBd0IILe5HQk1VtnsWmRwcjQw,dmḏ.t,dmḏ.t,𓋬𓐰𓂧𓐱𓏏𓍼𓐰𓏤,𓋬𓂧𓏏𓍼𓏤,"['𓋬', '𓂧', '𓏏', '𓍼', '𓏤']",179460,dmḏ.t,NOUN,,Sammelschrift,,,0.0,"['𓋬', '𓂧', '𓏏', '𓍼', '𓏤']","['complete', 'complete', 'complete', 'complete', 'complete']"
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,6,IBUBdz6zltX5QUntlQAHiG5aubA,n.t,n.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,7,IBUBdQW70SFgj0RPsv3Qzk57KmU,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,9,IBUBdW8obQoWR0bRszyPQ7TQm6w,dr,dr,𓂧𓐰𓂋𓀜,𓂧𓂋𓀜,"['𓂧', '𓂋', '𓀜']",180130,dr,VERB,,entfernen; vertreiben; vertilgen,,,0.0,"['𓂧', '𓂋', '𓀜']","['complete', 'complete', 'complete']"
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,10,IBUBdwNbYfar0kVWi5Dnm5Ofx6A,mḥr.t,mḥr.t,𓍋𓅓𓐰𓂋𓏏𓐰𓅪𓏫,𓍋𓅓𓂋𓏏𓅪𓏫,"['𓍋', '𓅓', '𓂋', '𓏏', '𓅪', '𓏫']",72000,mr.t,NOUN,,Krankheit; Böses,,,0.0,"['𓍋', '𓅓', '𓂋', '𓏏', '𓅪', '𓏫']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,11,IBUBd6zjQbCTKUejpFED7UtdxQk,m,m,𓅓,𓅓,['𓅓'],400007,m,PREP,,in; zu; an; aus; [lokal],,,0.0,['𓅓'],['complete']
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",1,12,IBUBd3wAwHcxpE4crAOcAvr5nCM,ẖ.t,ẖ.t,𓄡𓐰𓏏𓐱𓏤,𓄡𓏏𓏤,"['𓄡', '𓏏', '𓏤']",122080,ẖ.t,NOUN,,Leib; Bauch; Art; Weise,,,0.0,"['𓄡', '𓏏', '𓏤']","['complete', 'complete', 'complete']"
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",2,2,IBUBd91xRhV7jUL8ul0wHWTAWvY,tꞽḥwꞽ,tꞽḥwꞽ,𓍘𓎛𓏲𓐰𓏭𓈒𓐰𓏥,𓍘𓎛𓏲𓏭𓈒𓏥,"['𓍘', '𓎛', '𓏲', '𓏭', '𓈒', '𓏥']",852327,tḥwꜣ,NOUN,,Erbsen,,,0.0,"['𓍘', '𓎛', '𓏲', '𓏭', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
GCM5SJZBKBB7DOKMXH5VSA2FMA,"Medizinische Texte || pEbers || 2,7-25,11 = Eb 4-103: Sammelhandschrift für Bauchbeschwerden",3,1,IBUBd2Vhy5vRhEWXisNd6ycJiiI,ꜣmꞽ.w,ꜣmꞽ.w,𓄿𓏇𓇋𓏲𓀜,𓄿𓏇𓇋𓏲𓀜,"['𓄿', '𓏇', '𓇋', '𓏲', '𓀜']",136,ꜣmꞽ,VERB,,(etwas) mischen,,,0.0,"['𓄿', '𓏇', '𓇋', '𓏲', '𓀜']","['complete', 'complete', 'complete', 'complete', 'complete']"
