text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",1,4,IBYCk5EQsO5Kpki0pOAXTsncedE,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",1,5,IBkAd8F3LVuwnk7gl7nax2woASw,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",1,6,IBYCkxtJpjXqmEsnoxowtdxoctU,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",1,7,IBYCkwZYKE6jpUzAlWRMQXPHjf8,n.t,n.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",1,8,IBYCkwE6GeQdXE37jnQywKf6iQ8,dr,dr,𓂧𓐰𓂋𓀜,𓂧𓂋𓀜,"['𓂧', '𓂋', '𓀜']",180130,dr,VERB,,entfernen; vertreiben; vertilgen,,,0.0,"['𓂧', '𓂋', '𓀜']","['complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",1,9,IBYCk4BSrFz4lEJ4lF8FzpJNfiU,skm,skm,𓋴𓆎𓅓𓁸𓐰𓏥,𓋴𓆎𓅓𓁸𓏥,"['𓋴', '𓆎', '𓅓', '𓁸', '𓏥']",146790,skm,NOUN,,Ergrauen,,,0.0,"['𓋴', '𓆎', '𓅓', '𓁸', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",1,10,IBYCkW4TwpFQ2EPItRknZQbP7vo,srwḫ,srwḫ,𓋴𓂋𓐰𓏲𓐍𓐰𓐎,𓋴𓂋𓏲𓐍𓐎,"['𓋴', '𓂋', '𓏲', '𓐍', '𓐎']",139310,srwḫ,VERB,,behandeln; pflegen,,,0.0,"['𓋴', '𓂋', '𓏲', '𓐍', '𓐎']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",1,11,IBYCk5A26TyISk0dkkVhiNloYC4,šnꞽ,šnꞽ,𓁸𓐰𓏥,𓁸𓏥,"['𓁸', '𓏥']",155510,šnꞽ,NOUN,,Haar (allg.); Tierhaar (Wolle); Pflanzenhaar,,,0.0,"['𓁸', '𓏥']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",2,1,IBYCk6JEWmJVGkSch71XvZBDhz4,snf,snf,𓊃𓐰𓈖𓐰𓆑|lb𓂐𓐰𓏥,𓊃𓈖𓆑𓂐𓏥,"['𓊃', '𓈖', '𓆑', '𓂐', '𓏥']",137250,znf,NOUN,,Blut,,,0.0,"['𓊃', '𓈖', '𓆑', '𓂐', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",2,3,IBYCk9bQpls0OEFUtUt2W5oWipA,n,n,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
