text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",1,3,IBcCBkZeOFUWYUn2n5FAUhQ8Ggc,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",1,4,IBkAd2Gqgp1DokdGtfS3htCN4bo,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",1,5,IBcCBku7ZEzQmkxamOLcttYiEo8,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",1,6,IBcCBnHWtCpY9Uo1hKpWXlxE0Nw,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",1,7,IBcCBqGaDCDyo0KIolKy1L24gNA,msḏr,msḏr,𓄟𓋴𓇥𓐰𓂋𓄕,𓄟𓋴𓇥𓂋𓄕,"['𓄟', '𓋴', '𓇥', '𓂋', '𓄕']",76230,msḏr,NOUN,,Ohr,,,0.0,"['𓄟', '𓋴', '𓇥', '𓂋', '𓄕']","['complete', 'complete', 'complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",1,8,IBcCBmvVa3bUdESZqkVsld5wlBQ,nḏs,nḏs,𓈖𓐰𓆓𓋴𓅪,𓈖𓆓𓋴𓅪,"['𓈖', '𓆓', '𓋴', '𓅪']",853877,nḏs,VERB,,klein sein,,,0.0,"['𓈖', '𓆓', '𓋴', '𓅪']","['complete', 'complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",1,9,IBcCBg4NpoZjWEG0ratJv1WaW8s,sḏm,sḏm,𓄕𓅓,𓄕𓅓,"['𓄕', '𓅓']",150560,sḏm,VERB,,hören,,,0.0,"['𓄕', '𓅓']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",1,10,IBcCBq5dQgryZk4yvnQF3QAJKJQ,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",2,1,IBcCBlODMe34AUpol5yruCoXdoE,mnš.t,mnš.t,𓏠𓐰𓈖𓈙𓐰𓏏𓈒𓐰𓏥,𓏠𓈖𓈙𓏏𓈒𓏥,"['𓏠', '𓈖', '𓈙', '𓏏', '𓈒', '𓏥']",71380,mnš.t,NOUN,,[ein mineralischer Stoff (roter Ocker ?)],,,0.0,"['𓏠', '𓈖', '𓈙', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",2,2,IBcCBvwxlT7V20WJg7QeolnTSxw,ḏrḏ,ḏrḏ,𓄕𓏤,𓄕𓏤,"['𓄕', '𓏤']",185150,ḏrḏ,NOUN,,Blätter (der Bäume),,,0.0,"['𓄕', '𓏤']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",2,3,IBcCBjm9h1WNC0aKsPwhmQ8XTe0,n(.ꞽ),n.ꞽ,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",2,4,IBcCBjapUDal2UnjrItCwZWOwbU,ꞽꜣm,ꞽꜣm,𓆮𓅓𓆮,𓆮𓅓𓆮,"['𓆮', '𓅓', '𓆮']",24810,ꞽꜣm,NOUN,,[Laubbaum mit Früchten]; Jam-Baumholz,,,0.0,"['𓆮', '𓅓', '𓆮']","['complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",3,1,IBcCBsJLyVNXIk6HjCkPg1VkMWo,nḏ,nḏ,𓐩𓏌𓐰𓂝,𓐩𓏌𓂝,"['𓐩', '𓏌', '𓂝']",90880,nḏ,VERB,,zerreiben; mahlen; abreiben,,,0.0,"['𓐩', '𓏌', '𓂝']","['complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",3,2,IBcCBiHCxj13nEwuuFzWBCg5ymE,snꜥꜥ,snꜥꜥ,𓏞𓏛,𓏞𓏛,"['𓏞', '𓏛']",136700,snꜥꜥ,VERB,,glätten; (fein) zerreiben,,,0.0,"['𓏞', '𓏛']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",3,4,IBcCBvsydWJQAERivaAu34Q7tVM,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",400093,ḥr,PREP,,und (zur Koordination zweier Subst.); mit,,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",3,5,IBcCBnnkpptmtkubtwha1WJGWOo,bꜣq,bꜣq,𓆮𓏌𓐰𓏥,𓆮𓏌𓏥,"['𓆮', '𓏌', '𓏥']",53720,bꜣq,NOUN,,Moringa-Baum-Öl (Behenöl) (?); Olivenöl (?),,,0.0,"['𓆮', '𓏌', '𓏥']","['complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",3,6,IBcCBrpcYdEWqkYTvKmu0Knvgv4,wꜣḏ,wꜣḏ,𓇅𓆓𓐰𓏛,𓇅𓆓𓏛,"['𓇅', '𓆓', '𓏛']",600304,wꜣḏ,ADJ,,grün; frisch; jung,,,0.0,"['𓇅', '𓆓', '𓏛']","['complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",4,1,IBcCBsutmu6SjErcgKcFcJTQ3Qs,ḏi̯,ḏi̯,𓂞,𓂞,['𓂞'],96700,rḏi̯,VERB,,geben; legen; setzen; zeigen,,,0.0,['𓂞'],['complete']
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",4,2,IBcCBlwMiW9iUEL1sFWZWKJn7CQ,r,r,𓂋,𓂋,['𓂋'],91901,r,PREP,,"zu (lok.); bis (lok.); an (lok.); [in Richtung auf (e. Ort, e. Sache, e. Person)]; [lokal]",,,0.0,['𓂋'],['complete']
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",4,3,IBcCBgSFh7vvgEBWvUPe9WJrh0o,msḏr,msḏr,𓄟𓋴𓇥𓐰𓂋𓄕𓏤,𓄟𓋴𓇥𓂋𓄕𓏤,"['𓄟', '𓋴', '𓇥', '𓂋', '𓄕', '𓏤']",76230,msḏr,NOUN,,Ohr,,,0.0,"['𓄟', '𓋴', '𓇥', '𓂋', '𓄕', '𓏤']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",5,2,IBcCBuEKItrTcUaDiSlrQRu1hcY,k.t,k.t,𓎢𓐰𓏏,𓎢𓏏,"['𓎢', '𓏏']",163760,ky,ADJ,,anderer,,,0.0,"['𓎢', '𓏏']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",5,3,IBcCBkSoTNE0zUMegGCPwpXqjW4,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",5,4,IBcCBugegsShaEnFuUDYKr8sjWo,msḏr,msḏr,𓄟𓋴𓇥𓐰𓂋𓄕,𓄟𓋴𓇥𓂋𓄕,"['𓄟', '𓋴', '𓇥', '𓂋', '𓄕']",76230,msḏr,NOUN,,Ohr,,,0.0,"['𓄟', '𓋴', '𓇥', '𓂋', '𓄕']","['complete', 'complete', 'complete', 'complete', 'complete']"
