text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",1,3,IBcCCNCQnaALQkDSoVe4FIFUmrs,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",1,4,IBkAd59cQDkoK06yk9mB6mvSuLo,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",1,5,IBcCCOJfKd5tHUoPiec7bIPOn1c,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",1,6,IBcCCPuP2PiSq0C6tCgLWvD6tTI,ꞽrr.t.PL,ꞽrr.t.PL,𓁹𓐰𓂋𓐱𓏏𓏥,𓁹𓂋𓏏𓏥,"['𓁹', '𓂋', '𓏏', '𓏥']",28550,ꞽri̯,VERB,,machen; tun; fertigen; fungieren als; handeln,,,0.0,"['𓁹', '𓂋', '𓏏', '𓏥']","['complete', 'complete', 'complete', 'complete']"
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",1,7,IBcCCGp4uYo01kZGtQl0nZU7Ofw,n,n,𓈖,𓈖,['𓈖'],400055,n,PREP,,zu (jmd.); für (jmd.); [Dativ: Nutzen]; zu (jmd.) gehörig (poss.),,,0.0,['𓈖'],['complete']
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",1,8,IBcCCAmxQoRQwkpjg1zjKRSeTbw,ḥm.t.PL,ḥm.t.PL,𓈞𓐰𓏏𓁐𓐰𓏥,𓈞𓏏𓁐𓏥,"['𓈞', '𓏏', '𓁐', '𓏥']",104730,ḥm.t,NOUN,,Frau; Ehefrau,,,0.0,"['𓈞', '𓏏', '𓁐', '𓏥']","['complete', 'complete', 'complete', 'complete']"
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",2,1,IBcCCJ1VRBerWkB2rXIxKPTZvYQ,rḏi̯.t,rḏi̯.t,𓂋𓐰𓂝𓐰𓏏,𓂋𓂝𓏏,"['𓂋', '𓂝', '𓏏']",550028,rḏi̯,VERB,,veranlassen; zulassen (dass),,,0.0,"['𓂋', '𓂝', '𓏏']","['complete', 'complete', 'complete']"
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",2,2,IBcCCPSjUHx7b0K1nk4KRgBvgLE,ꜣb,ꜣb,𓋁𓃀𓂻,𓋁𓃀𓂻,"['𓋁', '𓃀', '𓂻']",852472,ꜣb,VERB,,aufhören zu tun (aux./modal),,,0.0,"['𓋁', '𓃀', '𓂻']","['complete', 'complete', 'complete']"
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",2,3,IBcCCCzy05SNbUmvmy1BNV7EzY4,s.t,s.t,𓊃𓐰𓏏𓐱𓁐,𓊃𓏏𓁐,"['𓊃', '𓏏', '𓁐']",125040,z.t,NOUN,,Frau; weibliche Person,,,0.0,"['𓊃', '𓏏', '𓁐']","['complete', 'complete', 'complete']"
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",2,4,IBcCCCZmEhcP806ovOQyhPsiOnA,ꞽwr,ꞽwr,𓃛𓏲𓅨𓐰𓂋𓁓,𓃛𓏲𓅨𓂋𓁓,"['𓃛', '𓏲', '𓅨', '𓂋', '𓁓']",22930,ꞽwr,VERB,,empfangen; schwanger sein; schwängern; durch Schwangerschaft entstehen,,,0.0,"['𓃛', '𓏲', '𓅨', '𓂋', '𓁓']","['complete', 'complete', 'complete', 'complete', 'complete']"
JR63HPLMQRDCTITNGOF5UD64QI,"Medizinische Texte || pEbers || 93,6-94,22 = Eb 783-807: Erster gynäkologischer Abschnitt",2,5,IBcCCExmTHqiFUc5sIQiuCGfX5c,m,m,𓅓,𓅓,['𓅓'],64365,m,PREP,,im; am; [temporal],,,0.0,['𓅓'],['complete']
