text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",1,3,IBcCCSdM76SAokQRv0s66gT2zVA,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",1,4,IBkAd56KetYwYEbbgsU7HK42An0,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",1,5,IBcCCT45Z4ldI0XGtNdVku2kABg,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",1,6,IBcCCbWD3qQlPE9EvvAEzYnG42I,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",1,7,IBcCCSZnSckyHkJgm5uhMcdcJos,tm,tm,𓍃𓅓,𓍃𓅓,"['𓍃', '𓅓']",171990,tm,VERB,,nicht sein (aux.); [Negationsverb],,,0.0,"['𓍃', '𓅓']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",1,8,IBcCCarWJacDu0Z5vkfTOlezYws,rḏi̯,rḏi̯,𓂋𓐰𓂝,𓂋𓂝,"['𓂋', '𓂝']",550028,rḏi̯,VERB,,veranlassen; zulassen (dass),,,0.0,"['𓂋', '𓂝']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",1,9,IBcCCbXbjqD5L0ZxoRcCmnKJkS4,hꜣi̯,hꜣi̯,𓉔𓄿𓂻,𓉔𓄿𓂻,"['𓉔', '𓄿', '𓂻']",97350,hꜣi̯,VERB,,herabsteigen; fallen; zu Fall kommen,,,0.0,"['𓉔', '𓄿', '𓂻']","['complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",1,10,IBcCCUhCJSl4D09UlTeKASPljfo,bn.tꞽ,bn.tꞽ,𓃀𓐰𓈖𓏏𓐰𓏭𓆇𓐰𓆇,𓃀𓈖𓏏𓏭𓆇𓆇,"['𓃀', '𓈖', '𓏏', '𓏭', '𓆇', '𓆇']",55550,bn.tꞽ,NOUN,,Brustwarzen; Brüste (Dual),,,0.0,"['𓃀', '𓈖', '𓏏', '𓏭', '𓆇', '𓆇']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,1,IBcCCSMTRtQRGUI5qU6scT5IYUc,bꜥbꜥ,bꜥbꜥ,𓃀𓐰𓂝𓃀𓐰𓂝𓈗,𓃀𓂝𓃀𓂝𓈗,"['𓃀', '𓂝', '𓃀', '𓂝', '𓈗']",54900,bꜥbꜥ,VERB,,blubbern; sprudeln; baden,,,0.0,"['𓃀', '𓂝', '𓃀', '𓂝', '𓈗']","['complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,2,IBcCCUX6iu2GLk6TkVjuNKJUl7c,⸗st,⸗st,𓋴𓏏,𓋴𓏏,"['𓋴', '𓏏']",851173,⸗st,PRON,,[Suffix Pron. sg.3.f.],,,0.0,"['𓋴', '𓏏']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,3,IBcCCSHxO2XswUanu2NX30dUxvY,m,m,𓅓,𓅓,['𓅓'],400007,m,PREP,,in; zu; an; aus; [lokal],,,0.0,['𓅓'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,4,IBcCCYDctiDDAEh2kNFwXsGRRUE,snf,snf,𓊃𓐰𓈖𓐰𓆑𓂐𓐰𓏥,𓊃𓈖𓆑𓂐𓏥,"['𓊃', '𓈖', '𓆑', '𓂐', '𓏥']",137250,znf,NOUN,,Blut,,,0.0,"['𓊃', '𓈖', '𓆑', '𓂐', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,5,IBcCCXNJNWihbkm1nm6LiQMGsj4,n(.ꞽ),n.ꞽ,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,6,IBcCCRyCkrXMzEQ0htqsHj5NEsU,ꞽwi̯(.t),ꞽwi̯.t,𓂻𓏲,𓂻𓏲,"['𓂻', '𓏲']",21930,ꞽwi̯,VERB,,kommen,,,0.0,"['𓂻', '𓏲']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,8,IBcCCXQc7Uvxb0QLsb50unD0IZM,ḥzmn,ḥzmn,𓍖𓈖𓐰𓂐,𓍖𓈖𓂐,"['𓍖', '𓈖', '𓂐']",110040,ḥzmn,NOUN,,Menstruation,,,0.0,"['𓍖', '𓈖', '𓂐']","['complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,9,IBcCCTXLM3emQ0QhucdDeRiDqF8,⸗s,⸗s,𓋴,𓋴,['𓋴'],10090,⸗s,PRON,,[Suffix Pron.sg.3.f.],,,0.0,['𓋴'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,10,IBcCCefalEjaw0warLfEdJ0pBYk,m,m,𓅓,𓅓,['𓅓'],64365,m,PREP,,im; am; [temporal],,,0.0,['𓅓'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,11,IBcCCY6HCoTrFE6whIRybLfUl8w,dp,dp,𓁶𓏤,𓁶𓏤,"['𓁶', '𓏤']",170880,tp,NOUN,,Anfang (eines Zeitabschnittes),,,0.0,"['𓁶', '𓏤']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,12,IBcCCTXrJh3BA02Uj1GuuBNB2jM,{m},,𓅓,𓅓,['𓅓'],64365,m,PREP,,im; am; [temporal],,,0.0,['𓅓'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,13,IBcCCfYbN0esM03JjCWxJLqGFjA,{dp},,𓁶𓏤,𓁶𓏤,"['𓁶', '𓏤']",170880,tp,NOUN,,Anfang (eines Zeitabschnittes),,,0.0,"['𓁶', '𓏤']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,14,IBcCCYB4qLZ9kkiptiqciwkd5hY,ꞽr,ꞽr,𓇋𓂋,𓇋𓂋,"['𓇋', '𓂋']",28500,ꞽr.ꞽ,ADJ,,zugehörig zu,,,0.0,"['𓇋', '𓂋']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",2,15,IBcCCU2PTqg6CUgcs2z4DR2djzM,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",3,1,IBcCCQqXWDe7n0mfiiIpg4mHSqA,sꞽn,sꞽn,𓋴𓇋𓆛𓐰𓈖𓏌𓐰𓂝,𓋴𓇋𓆛𓈖𓏌𓂝,"['𓋴', '𓇋', '𓆛', '𓈖', '𓏌', '𓂝']",128320,zꞽn,VERB,,reiben; abreiben,,,0.0,"['𓋴', '𓇋', '𓆛', '𓈖', '𓏌', '𓂝']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",3,2,IBcCCWR5HJsJukmeucksEKMw4XA,ẖ.t,ẖ.t,𓄡𓐰𓏏𓐱𓏤,𓄡𓏏𓏤,"['𓄡', '𓏏', '𓏤']",122080,ẖ.t,NOUN,,Leib; Bauch; Art; Weise,,,0.0,"['𓄡', '𓏏', '𓏤']","['complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",3,3,IBcCCeAloschlUd1so1DpUZOibo,⸗s,⸗s,𓋴,𓋴,['𓋴'],10090,⸗s,PRON,,[Suffix Pron.sg.3.f.],,,0.0,['𓋴'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",3,4,IBcCCY4y7v9W50uThHFdI6EFUWw,mn.t.DU,mn.t.DU,𓏠𓐰𓈖𓏏𓂾𓂾,𓏠𓈖𓏏𓂾𓂾,"['𓏠', '𓈖', '𓏏', '𓂾', '𓂾']",69800,mn.t,NOUN,,Oberschenkel; Hinterschenkel (tier.); Schenkel (allg.),,,0.0,"['𓏠', '𓈖', '𓏏', '𓂾', '𓂾']","['complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",3,5,IBcCCUUXhrsbU0lFmPf4M7GguwU,⸗sꞽ,⸗sꞽ,𓋴𓏭,𓋴𓏭,"['𓋴', '𓏭']",127780,⸗sꞽ,PRON,,[Suffix Pron. sg.3.f. nach Dual],,,0.0,"['𓋴', '𓏭']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",3,6,IBcCCQQtS4bbp0icrWrSBqSAa4Q,ꞽm,ꞽm,𓇋𓅓,𓇋𓅓,"['𓇋', '𓅓']",24640,ꞽm,ADV,,da; dort; davon; dadurch; damit,,,0.0,"['𓇋', '𓅓']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",4,1,IBcCCefdaYuRvUiuhthvWsFTPFE,n,n,𓂜,𓂜,['𓂜'],850806,n,PART,,[Negationspartikel],,,0.0,['𓂜'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",4,2,IBcCCcgSQzFXCEHDrHtVQvbY0O0,ḫpr.n,ḫpr.n,𓆣𓂋𓐰𓈖,𓆣𓂋𓈖,"['𓆣', '𓂋', '𓈖']",116230,ḫpr,VERB,,werden; entstehen; geschehen; existieren,,,0.0,"['𓆣', '𓂋', '𓈖']","['complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",4,3,IBcCCY6KwJ7T2kFpraNTaHXkBs8,gs.w,gs.w,𓐛𓐰𓊃𓏲𓂐𓐰𓏥,𓐛𓊃𓏲𓂐𓏥,"['𓐛', '𓊃', '𓏲', '𓂐', '𓏥']",168350,gs.w,NOUN,,[äußerliche Krankheit bei Frauen],,,0.0,"['𓐛', '𓊃', '𓏲', '𓂐', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",4,5,IBcCCbMrXZxUSUKdvEeZIPfs4UE,r,r,𓂋,𓂋,['𓂋'],400084,r,PREP,,zu; für; von; auf; [idiomatisch],,,0.0,['𓂋'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",4,6,IBcCCTr4jy9oMkN1mTuQP2lnH7o,⸗s,⸗s,𓊃,𓊃,['𓊃'],10090,⸗s,PRON,,[Suffix Pron.sg.3.f.],,,0.0,['𓊃'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",5,2,IBcCCSFZQppnrkbyl7mtJSDuId0,k.t,k.t,𓎢𓐰𓏏,𓎢𓏏,"['𓎢', '𓏏']",163760,ky,ADJ,,anderer,,,0.0,"['𓎢', '𓏏']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",5,3,IBcCCUfsQeD7bk8UvNPxi9TUu74,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",5,4,IBcCCTxHuKyobk5nnSDqWemQ0o8,tm,tm,𓍃𓅓,𓍃𓅓,"['𓍃', '𓅓']",171990,tm,VERB,,nicht sein (aux.); [Negationsverb],,,0.0,"['𓍃', '𓅓']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",5,5,IBcCCepyZYhLU0e3io6FgZXQrjs,rḏi̯,rḏi̯,𓂋𓐰𓂝,𓂋𓂝,"['𓂋', '𓂝']",550028,rḏi̯,VERB,,veranlassen; zulassen (dass),,,0.0,"['𓂋', '𓂝']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",5,6,IBcCCcLh8dyzikiJhwsfWlvbhJI,⟨ḫpr⟩,ḫpr,,,[],116230,ḫpr,VERB,,werden; entstehen; geschehen; existieren,,,0.0,[],[]
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",5,7,IBcCCbZ5W8LUQ0ErntmappFJnIA,gs.w,gs.w,𓐛𓐰𓊃𓏲𓄹𓐰𓏥,𓐛𓊃𓏲𓄹𓏥,"['𓐛', '𓊃', '𓏲', '𓄹', '𓏥']",168350,gs.w,NOUN,,[äußerliche Krankheit bei Frauen],,,0.0,"['𓐛', '𓊃', '𓏲', '𓄹', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",5,8,IBcCCWkahJ9mbUsZt9KTnpU5ubw,r,r,𓂋,𓂋,['𓂋'],400084,r,PREP,,zu; für; von; auf; [idiomatisch],,,0.0,['𓂋'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",5,9,IBcCCTvM8Q1WeU8Hp8554m6gTyI,rwn.t,rwn.t,𓂌<var/>𓈖𓐰𓏏𓐱𓏯𓁐,𓂌𓈖𓏏𓏯𓁐,"['𓂌', '𓈖', '𓏏', '𓏯', '𓁐']",94830,rnw.t,NOUN,,mutterloses Mädchen,,,0.0,"['𓂌', '𓈖', '𓏏', '𓏯', '𓁐']","['complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",6,1,IBcCCUEWBekPTk25sqUy2Gcat0Y,mꞽs.t,mꞽs.t,𓈘𓐰𓈇𓋴𓏏𓐰𓄹,𓈘𓈇𓋴𓏏𓄹,"['𓈘', '𓈇', '𓋴', '𓏏', '𓄹']",68520,mꞽz.t,NOUN,,Leber,,,0.0,"['𓈘', '𓈇', '𓋴', '𓏏', '𓄹']","['complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",6,2,IBcCCQhbJ6zHb018vXDZMuBurH4,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",6,3,IBcCCYqnRVBZLkvjmKgKQfPRpW8,mn.t,mn.t,𓏠𓐰𓈖𓏏𓐰𓅬,𓏠𓈖𓏏𓅬,"['𓏠', '𓈖', '𓏏', '𓅬']",69780,mn.t,NOUN,,Schwalbe; Taube (?),,,0.0,"['𓏠', '𓈖', '𓏏', '𓅬']","['complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",6,4,IBcCCXqMm1JxbkwtrocYt9Se0W8,s(w)šr.tꞽ,swšr.tꞽ,𓊃𓐰𓈙𓂋𓐰𓇳𓍘𓇋,𓊃𓈙𓂋𓇳𓍘𓇋,"['𓊃', '𓈙', '𓂋', '𓇳', '𓍘', '𓇋']",130790,swšr,VERB,,dörren; trocknen,,,0.0,"['𓊃', '𓈙', '𓂋', '𓇳', '𓍘', '𓇋']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",7,2,IBcCCQjcPstTtEe3tSwWt8dSjzY,ẖꜣ.w,ẖꜣ.w,𓆞𓐰𓄿𓏲𓀜,𓆞𓄿𓏲𓀜,"['𓆞', '𓄿', '𓏲', '𓀜']",122400,ẖꜣ,VERB,,(Medikamente) zerstoßen; niedermetzeln,,,0.0,"['𓆞', '𓄿', '𓏲', '𓀜']","['complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",7,3,IBcCCarIMCUEFkOvoYDSKQ8kEpw,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",400093,ḥr,PREP,,und (zur Koordination zweier Subst.); mit,,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",7,4,IBcCCSbFrmK9IU2dt8IxQ8Y0oTI,ḥsꜣ,ḥsꜣ,𓎛𓋴𓐟𓄿𓈗𓏌𓐰𓏥,𓎛𓋴𓐟𓄿𓈗𓏌𓏥,"['𓎛', '𓋴', '𓐟', '𓄿', '𓈗', '𓏌', '𓏥']",109510,ḥzꜣ,NOUN,,Schleim; Teig (o. Ä.),,,0.0,"['𓎛', '𓋴', '𓐟', '𓄿', '𓈗', '𓏌', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",7,5,IBcCCZNOzzlUiElPoM6aEqpXHy0,n(.ꞽ),n.ꞽ,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",7,6,IBcCCQa9mPhEbUsuravh3eKkTKA,ꜥwꜣ.yt,ꜥwꜣ.yt,𓂝𓍯𓄿𓇋𓇋𓏏𓐰𓐎𓏌𓐰𓏥,𓂝𓍯𓄿𓇋𓇋𓏏𓐎𓏌𓏥,"['𓂝', '𓍯', '𓄿', '𓇋', '𓇋', '𓏏', '𓐎', '𓏌', '𓏥']",36020,ꜥwꜣ.yt,NOUN,,"Gegorenes, Fermentiertes",,,0.0,"['𓂝', '𓍯', '𓄿', '𓇋', '𓇋', '𓏏', '𓐎', '𓏌', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",8,1,IBcCCZEQ2hN0KEtvl70lQNJLhPk,ḏi̯,ḏi̯,𓂞,𓂞,['𓂞'],96700,rḏi̯,VERB,,geben; legen; setzen; zeigen,,,0.0,['𓂞'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",8,2,IBcCCYh6qr4ZFUSInc6jdUQlTAY,n,n,𓈖,𓈖,['𓈖'],78873,n,PREP,,hin zu; von her; [Dativ: Richtung],,,0.0,['𓈖'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",8,3,IBcCCSE0VTXCv0WBmr3LLbYkQ8M,s.t,s.t,𓊃𓐰𓏏𓐱𓁐,𓊃𓏏𓁐,"['𓊃', '𓏏', '𓁐']",125040,z.t,NOUN,,Frau; weibliche Person,,,0.0,"['𓊃', '𓏏', '𓁐']","['complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",8,4,IBcCCdJO7SfNakOhnQC9Q88WINM,r,r,𓂋,𓂋,['𓂋'],91901,r,PREP,,"zu (lok.); bis (lok.); an (lok.); [in Richtung auf (e. Ort, e. Sache, e. Person)]; [lokal]",,,0.0,['𓂋'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",8,5,IBcCCUyREIkx8EoyotpzuzWNqQU,mnd.w.PL,mnd.w.PL,𓏠𓐰𓈖𓂧𓏲𓂑𓄹𓐰𓏥,𓏠𓈖𓂧𓏲𓂑𓄹𓏥,"['𓏠', '𓈖', '𓂧', '𓏲', '𓂑', '𓄹', '𓏥']",71720,mnḏ,NOUN,,Brust; Euter,,,0.0,"['𓏠', '𓈖', '𓂧', '𓏲', '𓂑', '𓄹', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",8,7,IBcCCct9SJmn6kz2jIOjuTfNcY8,⸗s,⸗s,𓋴,𓋴,['𓋴'],10090,⸗s,PRON,,[Suffix Pron.sg.3.f.],,,0.0,['𓋴'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",8,8,IBcCmUM9T6IMEkfIk0ftYbAbF6E,r,r,𓂋,𓂋,['𓂋'],91901,r,PREP,,"zu (lok.); bis (lok.); an (lok.); [in Richtung auf (e. Ort, e. Sache, e. Person)]; [lokal]",,,0.0,['𓂋'],['complete']
WA6O6O6PP5CAXJVWVWHF7BKEBY,"Medizinische Texte || pEbers || 95,1-97,15 = Eb 808-839: Zweiter gynäkologischer Abschnitt",8,9,IBcCmZaKbMFv90kOgWFuIBzNdFQ,ẖ.t,ẖ.t,𓄡𓐰𓏏𓐱𓏤,𓄡𓏏𓏤,"['𓄡', '𓏏', '𓏤']",122080,ẖ.t,NOUN,,Leib; Bauch; Art; Weise,,,0.0,"['𓄡', '𓏏', '𓏤']","['complete', 'complete', 'complete']"
