text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,4,IBcDVRl0JUWKRkNMtIW6UR59E4U,rnp.t-zp,rnp.t-zp,𓆳𓏏𓐰𓊗,𓆳𓏏𓊗,"['𓆳', '𓏏', '𓊗']",850581,rnp.t-zp,NOUN,,Regierungsjahr,,,0.0,"['𓆳', '𓏏', '𓊗']","['complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,5,IBcDVfzFguH5WUEWn6kkuG615bE,9,9,𓏼𓐰𓏼𓐰𓏼,𓏼𓏼𓏼,"['𓏼', '𓏼', '𓏼']",850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,"['𓏼', '𓏼', '𓏼']","['complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,6,IBcDVQRMh7Pxk0DfpX3JPYVrzGU,ḫr,ḫr,𓐍𓐰𓂋,𓐍𓂋,"['𓐍', '𓂋']",400036,ḫr,PREP,,bis; unter (der Majestät),,,0.0,"['𓐍', '𓂋']","['complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,7,IBcDVb1q3AvmjkqJpKQqaVwBL6M,ḥm,ḥm,𓍛𓏤,𓍛𓏤,"['𓍛', '𓏤']",104690,ḥm,NOUN,,Majestät,,,0.0,"['𓍛', '𓏤']","['complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,8,IBcDVbNg5AOr1ElLm0ZWlim4sX4,n(.ꞽ),n.ꞽ,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,9,IBcDVVqeDm0lo0j6qdNZtS2BJWI,nsw-by.t,nsw-by.t,𓇓𓆤,𓇓𓆤,"['𓇓', '𓆤']",88060,nswt-bꞽ.tꞽ,TITLE,,König von OÄg. u. UÄg. (Thronname der Königstitulatur),,,0.0,"['𓇓', '𓆤']","['complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,10,IBcDVfPQVZv60ksWsUQshQyWOZk,ḏsr-kꜣ.rꜥ,ḏsr-kꜣ.rꜥ,𓍹𓇳𓂦𓂓𓏤𓍺,𓍹𓇳𓂦𓂓𓏤𓍺,"['𓍹', '𓇳', '𓂦', '𓂓', '𓏤', '𓍺']",400791,Ḏsr-kꜣ-Rꜥw,PROPN,king,[Thronname Amenophis' I.],,,0.0,"['𓍹', '𓇳', '𓂦', '𓂓', '𓏤', '𓍺']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,11,IBcDVZB2nGMHHU1DoG0WlXQaO34,ꜥnḫ,ꜥnḫ,𓋹,𓋹,['𓋹'],38530,ꜥnḫ,VERB,,leben,,,0.0,['𓋹'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,1,12,IBcDVb9pASKlxUadigGuQEDXF78,ḏ.t,ḏ.t,𓆓𓐰𓏏𓐰𓇿,𓆓𓏏𓇿,"['𓆓', '𓏏', '𓇿']",181401,ḏ.t,ADV,,"ewig, ewiglich",,,0.0,"['𓆓', '𓏏', '𓇿']","['complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,2,2,IBcDVQFtjdDkZkKWr9BibXPeFiI,wp-rnp.t,wp-rnp.t,𓄎𓎱,𓄎𓎱,"['𓄎', '𓎱']",45600,Wp-rnp.t,PROPN,artifact,Neujahrstag (Fest); Neujahrstag (Monatsname),,,0.0,"['𓄎', '𓎱']","['complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,2,5,IBcDVVGoWVn6mUrAniFBRrBAFMk,ꜣbd,ꜣbd,𓇹,𓇹,['𓇹'],93,ꜣbd,NOUN,,Monat; Monatsdienst,,,0.0,['𓇹'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,2,6,IBcDVfoBI8OLBEGLhprKECQrfr8,3,3,,𓏼,['𓏼'],850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,['𓏼'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,2,7,IBcDVXnFanupv0zOiWyJEaNFIQs,šm.w,šm.w,𓈙𓐰𓈗,𓈙𓈗,"['𓈙', '𓈗']",154850,šm.w,NOUN,,Schemu-Jahreszeit; Sommerzeit,,,0.0,"['𓈙', '𓈗']","['complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,2,8,IBcDVUSN5B8PMUO8jARLGjIcscY,sw,sw,𓇳,𓇳,['𓇳'],129460,sw,NOUN,,Monatstag,,,0.0,['𓇳'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,2,9,IBcDVblb1cLd3k2WkUy6pbRWzVI,9,9,𓏼𓐰𓏼𓐰𓏼,𓏼𓏼𓏼,"['𓏼', '𓏼', '𓏼']",850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,"['𓏼', '𓏼', '𓏼']","['complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,2,11,IBcDVXqn9Idz8klitgjl6eRQVk0,pr.t-spd.t,pr.t-spd.t,𓉐𓂋𓐰𓏏𓂻𓇮𓏏𓇼,𓉐𓂋𓏏𓂻𓇮𓏏𓇼,"['𓉐', '𓂋', '𓏏', '𓂻', '𓇮', '𓏏', '𓇼']",60840,pr.t-spd.t,NOUN,,Siriusaufgang,,,0.0,"['𓉐', '𓂋', '𓏏', '𓂻', '𓇮', '𓏏', '𓇼']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,3,2,IBcDVQ4fnUe9QUtOnfGgqDqPRyw,tḫꞽ,tḫꞽ,𓏏𓐰𓐍𓏭,𓏏𓐍𓏭,"['𓏏', '𓐍', '𓏭']",853217,Tḫꞽ,PROPN,artifact,Trunkenheit (Fest); Trunkenheit (Monatsname); Techi (1. Monat der Achet-Jahreszeit),,,0.0,"['𓏏', '𓐍', '𓏭']","['complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,3,5,IBcDVRWpncUZSEGHufdw7qU4gF4,ꜣbd,ꜣbd,𓇹,𓇹,['𓇹'],93,ꜣbd,NOUN,,Monat; Monatsdienst,,,0.0,['𓇹'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,3,6,IBcDVToOu1cvbEG9lpDL7E5jJww,4,4,,𓏽,['𓏽'],850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,['𓏽'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,3,7,IBcDVTU2ZJLnkU6ojIE42i3LyQw,(šm.w),šm.w,<g>Ff100</g>,<g>Ff100</g>,"['<', 'g', '>', 'F', 'f', '1', '0', '0', '<', '/', 'g', '>']",154850,šm.w,NOUN,,Schemu-Jahreszeit; Sommerzeit,,,0.0,['Ff100'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,3,8,IBcDVUfN9Lp8d0UvqnHVQ159GGA,sw,sw,𓇳,𓇳,['𓇳'],129460,sw,NOUN,,Monatstag,,,0.0,['𓇳'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,3,9,IBcDVT5uevmxJUsyigdfZz26cs8,9,9,𓏼𓐰𓏼𓐰𓏼,𓏼𓏼𓏼,"['𓏼', '𓏼', '𓏼']",850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,"['𓏼', '𓏼', '𓏼']","['complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,3,11,IBcDVXyZTWJkWEx2qRyrzy9TxQY,__,__,<g>Ff100</g>,<g>Ff100</g>,"['<', 'g', '>', 'F', 'f', '1', '0', '0', '<', '/', 'g', '>']",_,_,_,,_,,,0.0,['Ff100'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,4,2,IBcDVRe8ajiaCkF3gdroN5pNILk,mnḫ.t,mnḫ.t,𓏠𓐰𓈖𓐍𓐰𓏏,𓏠𓈖𓐍𓏏,"['𓏠', '𓈖', '𓐍', '𓏏']",71190,Mnḫ.t,PROPN,artifact,Bekleiden (Fest); Bekleiden (Monatsname); Paophi (2. Monat der Achet-Jahreszeit),,,0.0,"['𓏠', '𓈖', '𓐍', '𓏏']","['complete', 'complete', 'complete', 'complete']"
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,4,5,IBcDVa2SngMmj0W5nvGVKRocAr8,ꜣbd,ꜣbd,𓇹,𓇹,['𓇹'],93,ꜣbd,NOUN,,Monat; Monatsdienst,,,0.0,['𓇹'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,4,6,IBcDVcIs1BAGWEkWonHyJiYR5qc,1,1,𓏤,𓏤,['𓏤'],850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,['𓏤'],['complete']
3RU7Z4VQ45CYFIQ4PUGQ3HDJFU,Medizinische Texte || pEbers || [Verso:] Kalender,4,7,IBcDVR3uCwy4fUg5uDduHddZCPs,ꜣḫ.t,ꜣḫ.t,𓆷𓐰𓏏𓐱𓏤,𓆷𓏏𓏤,"['𓆷', '𓏏', '𓏤']",216,ꜣḫ.t,NOUN,,Achet-Jahreszeit (Überschwemmungszeit),,,0.0,"['𓆷', '𓏏', '𓏤']","['complete', 'complete', 'complete']"
