text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,1,3,IBUBdzYTvu5pnU1OoPXgZpEqbKw,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,1,4,IBUBd1VaeI97wEIwsRPwlh2Qqqo,spnꜥ,spnꜥ,𓋴𓊪𓐰𓈖𓂝𓐰𓊜,𓋴𓊪𓈖𓂝𓊜,"['𓋴', '𓊪', '𓈖', '𓂝', '𓊜']",132810,spnꜥ+(ꞽnm),VERB,,Haut verbessern (mit Salbe),,,0.0,"['𓋴', '𓊪', '𓈖', '𓂝', '𓊜']","['complete', 'complete', 'complete', 'complete', 'complete']"
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,1,6,IBUBdwTM7nlWCE8flKnwWYX15s8,ꞽnm,ꞽnm,𓇋𓆛𓐰𓈖𓌰𓅓𓁸,𓇋𓆛𓈖𓌰𓅓𓁸,"['𓇋', '𓆛', '𓈖', '𓌰', '𓅓', '𓁸']",27420,ꞽnm,NOUN,,Haut (von Mensch und Tier); Färbung,,,0.0,"['𓇋', '𓆛', '𓈖', '𓌰', '𓅓', '𓁸']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,2,1,IBUBd7a3bl68b0r7uGIWDKtA9Hg,bꞽ.t,bꞽ.t,𓆤𓏏𓐰𓏯𓏌𓐰𓏥,𓆤𓏏𓏯𓏌𓏥,"['𓆤', '𓏏', '𓏯', '𓏌', '𓏥']",54210,bꞽ.t,NOUN,,Honig,,,0.0,"['𓆤', '𓏏', '𓏯', '𓏌', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,2,2,IBUBdQz2oheANkfhsIV7Vv78E8o,1,1,𓏤,𓏤,['𓏤'],850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,['𓏤'],['complete']
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,2,3,IBUBd6TSqcIRHUxdikWlJEQW7wc,ḥsmn,ḥsmn,𓎛𓋴𓏠𓐰𓈖𓍖𓈒𓐰𓏥,𓎛𓋴𓏠𓈖𓍖𓈒𓏥,"['𓎛', '𓋴', '𓏠', '𓈖', '𓍖', '𓈒', '𓏥']",110020,ḥzmn,NOUN,,Natron,,,0.0,"['𓎛', '𓋴', '𓏠', '𓈖', '𓍖', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,2,5,IBUBdzHVr64BsUDxpH0TwU1g4RY,dšr,dšr,𓂧𓐰𓈙𓂋𓐰𓏯𓈒𓐰𓏥,𓂧𓈙𓂋𓏯𓈒𓏥,"['𓂧', '𓈙', '𓂋', '𓏯', '𓈒', '𓏥']",550232,dšr,ADJ,,rot; wütend,,,0.0,"['𓂧', '𓈙', '𓂋', '𓏯', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,2,6,IBUBd4jPJcFpBUQ4vOVgvlOx1bc,1,1,𓏤,𓏤,['𓏤'],850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,['𓏤'],['complete']
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,2,7,IBUBdQs6IIvTMkQYomXsfZb1ODE,ḥmꜣ.yt,ḥmꜣ.yt,𓎛𓌴𓐰𓄿𓇋𓇋𓏏𓍖,𓎛𓌴𓄿𓇋𓇋𓏏𓍖,"['𓎛', '𓌴', '𓄿', '𓇋', '𓇋', '𓏏', '𓍖']",105070,ḥmꜣ.t,NOUN,,Salz,,,0.0,"['𓎛', '𓌴', '𓄿', '𓇋', '𓇋', '𓏏', '𓍖']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,2,8,IBUBd9EnW7HrKk5TkPRnLMSwv3Y,mḥ.t,mḥ.t,𓎔𓐰𓏏𓈒𓐰𓏥,𓎔𓏏𓈒𓏥,"['𓎔', '𓏏', '𓈒', '𓏥']",74000,mḥ.wꞽ,ADJ,,unterägyptisch; nördlich,,,0.0,"['𓎔', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete']"
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,2,9,IBUBd5C1lelHtkMnmtScxE0TmJI,1,1,𓏤,𓏤,['𓏤'],850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,['𓏤'],['complete']
TQXUFUY2KRDK3DG4JWIQULW45E,Medizinische Texte || pEdwin Smith || 21.3-8 = Vso 4.3-8: Hautverschönerungsmittel,3,1,IBUBdxQnbVgOxkMNqxMlDuhussE,nḏ,nḏ,𓐩𓏌𓐰𓂝,𓐩𓏌𓂝,"['𓐩', '𓏌', '𓂝']",90880,nḏ,VERB,,zerreiben; mahlen; abreiben,,,0.0,"['𓐩', '𓏌', '𓂝']","['complete', 'complete', 'complete']"
