text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,2,IBUBd8SaLs2sdEz9nWa4jlarBg4,ꞽr,ꞽr,𓇋𓂋,𓇋𓂋,"['𓇋', '𓂋']",28150,ꞽr,PREP,,wenn (konditional); wenn (temporal); als (temporal),,,0.0,"['𓇋', '𓂋']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,3,IBUBd0TVb84VokxxpGpcILaeZvY,mꜣꜣ,mꜣꜣ,𓌳𓐰𓁹𓄿𓄿,𓌳𓁹𓄿𓄿,"['𓌳', '𓁹', '𓄿', '𓄿']",66270,mꜣꜣ,VERB,,sehen; erblicken,,,0.0,"['𓌳', '𓁹', '𓄿', '𓄿']","['complete', 'complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,4,IBUBd3uuUibPH0GAh5i4YsQFQYA,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,5,IBUBd1NEn5rYB0yroxJH7nIGmtI,z,z,𓊃𓐰𓀀𓐱𓏤,𓊃𓀀𓏤,"['𓊃', '𓀀', '𓏤']",125010,z,NOUN,,Mann; Person; Wesen,,,0.0,"['𓊃', '𓀀', '𓏤']","['complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,6,IBUBd15RHWjhoUEFrYJM40mVx5I,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",107529,ḥr,PREP,,[mit Infinitiv]; [Bildungselement des Präsens I],,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,7,IBUBdxr0snsqeUQOlw33JVncnjI,mn,mn,𓏠𓐰𓈖𓅪,𓏠𓈖𓅪,"['𓏠', '𓈖', '𓅪']",69660,mn,VERB,,krank sein; leiden (an); verletzen,,,0.0,"['𓏠', '𓈖', '𓅪']","['complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,8,IBUBd074y5zQmkZ7mbknqJVASQk,pḥ⟨.wꞽ⟩,pḥ.wꞽ,𓄖,𓄖,['𓄖'],61490,pḥ.wꞽ,NOUN,,Hinterteil; Ende,,,0.0,['𓄖'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,9,IBUBd4h0eBMoCEoBmVQd3EWFGCY,⸗fꞽ,⸗fꞽ,𓆑𓐰𓏭,𓆑𓏭,"['𓆑', '𓏭']",10060,⸗fꞽ,PRON,,[Suffix Pron. sg.3.m. nach Dual],,,0.0,"['𓆑', '𓏭']","['complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,10,IBUBdWPk5HU6dU1dplGQ30uIhRc,ꜥḥꜥ,ꜥḥꜥ,𓊢𓂝𓐰𓂻,𓊢𓂝𓂻,"['𓊢', '𓂝', '𓂻']",40110,ꜥḥꜥ,VERB,,stehen; aufstehen,,,0.0,"['𓊢', '𓂝', '𓂻']","['complete', 'complete', 'complete']"
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,11,IBUBdxHNbRXg1EM9oVsrW0qfMTs,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
JLNBOVGOMFGGRP7G6DT57BEW2M,Medizinische Texte || pEdwin Smith || 22.11-14 = Vso 5.11-14: Heilmittel für Probleme am Hintern,1,12,IBUBd7c2Bcw2yUaWtUSngTFxTp4,ḥmsi̯,ḥmsi̯,𓈟𓐰𓊃𓀉,𓈟𓊃𓀉,"['𓈟', '𓊃', '𓀉']",105780,ḥmsi̯,VERB,,sitzen; sich setzen; besetzen; wohnen,,,0.0,"['𓈟', '𓊃', '𓀉']","['complete', 'complete', 'complete']"
