text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,2,IBUBdzzeLV7Mt01PpeE6ecTW50U,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,3,IBkAd2uJQDEiJEwlojHlCFR3po8,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,4,IBUBd7U8oq8g0EBpm6G2iXkHk7M,mḏꜣ.t,mḏꜣ.t,𓏛𓐰𓏏𓐱𓏤𓍼,𓏛𓏏𓏤𓍼,"['𓏛', '𓏏', '𓏤', '𓍼']",78470,mḏꜣ.t,NOUN,,Buchrolle; Schriftstück; Akte,,,0.0,"['𓏛', '𓏏', '𓏤', '𓍼']","['complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,5,IBUBdzUI0e2x8UoLhfqgYGEWBvU,n.t,n.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,6,IBUBd0jQEwe4BkyBtPmxODqhfR8,ꞽri̯.t,ꞽri̯.t,𓁹𓐰𓏏,𓁹𓏏,"['𓁹', '𓏏']",28550,ꞽri̯,VERB,,machen; tun; fertigen; fungieren als; handeln,,,0.0,"['𓁹', '𓏏']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,7,IBUBdW1wn9nv6UUYvEyytfeqt1E,ꞽꜣw,ꞽꜣw,𓇋𓄿𓏲𓀗𓀀,𓇋𓄿𓏲𓀗𓀀,"['𓇋', '𓄿', '𓏲', '𓀗', '𓀀']",20380,ꞽꜣw,NOUN,,Greis,,,0.0,"['𓇋', '𓄿', '𓏲', '𓀗', '𓀀']","['complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,8,IBUBd9aWVisZ6kdIv9C2HFLbPiY,m,m,𓅓,𓅓,['𓅓'],500292,m,PREP,,als (etwas sein); nämlich (etwas); zu (etwas werden); [identifizierend],,,0.0,['𓅓'],['complete']
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,1,9,IBUBdQXR4ZjwuEmvhE7N4hY1LpI,rnp,rnp,𓂋𓐰𓈖𓊪𓆳𓀔𓀀,𓂋𓈖𓊪𓆳𓀔𓀀,"['𓂋', '𓈖', '𓊪', '𓆳', '𓀔', '𓀀']",94880,rnp,NOUN,,Jugendlicher; Jüngling,,,0.0,"['𓂋', '𓈖', '𓊪', '𓆳', '𓀔', '𓀀']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,1,IBUBdzw29id9Qk8bg8YsQQ85YJM,ꞽni̯.ḫr,ꞽni̯.ḫr,𓏎𓈖𓐍𓐰𓂋,𓏎𓈖𓐍𓂋,"['𓏎', '𓈖', '𓐍', '𓂋']",26870,ꞽni̯,VERB,,bringen; holen,,,0.0,"['𓏎', '𓈖', '𓐍', '𓂋']","['complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,2,IBUBd4xb8pGge0g5g46uwfUQHEM,⸗tw,⸗tw,𓏏𓏲,𓏏𓏲,"['𓏏', '𓏲']",170100,⸗tw,PRON,,[Suffix Pron. sg.3.c.],,,0.0,"['𓏏', '𓏲']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,3,IBUBd9Tsf0BmP0wgiodQis4lHhs,ḥmꜣ.yt,ḥmꜣ.yt,𓎛𓌳𓄿𓇋𓇋𓏏𓍖𓈒𓐰𓏥,𓎛𓌳𓄿𓇋𓇋𓏏𓍖𓈒𓏥,"['𓎛', '𓌳', '𓄿', '𓇋', '𓇋', '𓏏', '𓍖', '𓈒', '𓏥']",105100,ḥmꜣ.yt,NOUN,,[Hülsenfrucht],,,0.0,"['𓎛', '𓌳', '𓄿', '𓇋', '𓇋', '𓏏', '𓍖', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,5,IBkCY2Ywt2DBLk7KiVtMydR9iuM,r,r,𓂋,𓂋,['𓂋'],91903,r,PREP,,betreffs; bezüglich; gemäß,,,0.0,['𓂋'],['complete']
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,6,IBkCY88Ldplexk9Pn6ZBWcTKQTg,ꜥꜣ.t,ꜥꜣ.t,𓉻𓐰𓏏𓐱𓏛,𓉻𓏏𓏛,"['𓉻', '𓏏', '𓏛']",34860,ꜥꜣ.t,NOUN,,das Große; die Größe; das Schwierige,,,0.0,"['𓉻', '𓏏', '𓏛']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,7,IBUBdQ2Wi745K0QlgrKL8gIVesM,wr.t,wr.t,𓅨𓐰𓂋𓐱𓏏,𓅨𓂋𓏏,"['𓅨', '𓂋', '𓏏']",47271,wr,ADJ,,groß; viel; reich; bedeutend,,,0.0,"['𓅨', '𓂋', '𓏏']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,8,IBUBd6vDgQvDCk4GtRKdYk7tOQo,mꞽ.tt,mꞽ.tt,𓏇𓏏𓐰𓏏𓏛,𓏇𓏏𓏏𓏛,"['𓏇', '𓏏', '𓏏', '𓏛']",67960,mꞽ.tꞽt,NOUN,,Gleiches,,,0.0,"['𓏇', '𓏏', '𓏏', '𓏛']","['complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,9,IBUBdQlaxcB63kNFiYyR2WQ8Hzw,ẖꜣr,ẖꜣr,𓆞𓐰𓂋𓎅,𓆞𓂋𓎅,"['𓆞', '𓂋', '𓎅']",122580,ẖꜣr,NOUN,,[ein Maß für Korn (Sack)]; Behälter; Sack,,,0.0,"['𓆞', '𓂋', '𓎅']","['complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,2,10,IBUBdQSWHaOvOkuqold1OWkcCW4,2,2,𓏤𓏤,𓏤𓏤,"['𓏤', '𓏤']",850814,1...n,NUM,,[Kardinalzahl (ganze Zahlen und Brüche) in Ziffernschreibung],,,0.0,"['𓏤', '𓏤']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,3,1,IBUBd5hdp10GJULRqWKutkPfo08,qnqn.ḫr,qnqn.ḫr,𓈎𓐰𓈖𓈎𓐰𓈖𓏴𓐰𓂝𓐍𓐰𓂋,𓈎𓈖𓈎𓈖𓏴𓂝𓐍𓂋,"['𓈎', '𓈖', '𓈎', '𓈖', '𓏴', '𓂝', '𓐍', '𓂋']",161450,qnqn,VERB,,schlagen; zerschlagen; prügeln,,,0.0,"['𓈎', '𓈖', '𓈎', '𓈖', '𓏴', '𓂝', '𓐍', '𓂋']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,3,2,IBUBd3A9qBQOrEIUmSiAoWyWqTM,⸗tw,⸗tw,𓏏𓏲,𓏏𓏲,"['𓏏', '𓏲']",170100,⸗tw,PRON,,[Suffix Pron. sg.3.c.],,,0.0,"['𓏏', '𓏲']","['complete', 'complete']"
VBLHGTRTIFDSFLCP7UOE7256V4,Medizinische Texte || pEdwin Smith || 21.9-22.10 = Vso 4.8-5.10: Verjüngungsmittel,4,1,IBUBdyiNEi2NW0QCmvJuVQ3mXPA,rḏi̯,rḏi̯,𓂋𓐰𓂝,𓂋𓂝,"['𓂋', '𓂝']",96700,rḏi̯,VERB,,geben; legen; setzen; zeigen,,,0.0,"['𓂋', '𓂝']","['complete', 'complete']"
