text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",1,1,IBYCRe5PD9FnjU0mmsdYhT8Whq4,[…],[…],,[],[…],,,,,,,,0.0,[],[]
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",4,1,IBUBdQcvzeEsQk7XttD5CcIpyiA,wt.ḫr,wt.ḫr,𓐎𓐰𓏏𓀜𓐍𓐰𓂋,𓐎𓏏𓀜𓐍𓂋,"['𓐎', '𓏏', '𓀜', '𓐍', '𓂋']",50980,wt,VERB,,einwickeln; verbinden; fesseln,,,0.0,"['𓐎', '𓏏', '𓀜', '𓐍', '𓂋']","['complete', 'complete', 'complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",4,2,IBUBdxczSPPJvkwAhmuq2AeTCUI,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",4,3,IBUBdxWxZXoAYUdosBZtEWLTQmo,sw,sw,𓇓𓏲,𓇓𓏲,"['𓇓', '𓏲']",129490,sw,PRON,,er [Enkl. Pron. sg.3.m.]; sich [Enkl. Pron. sg.3.m.]; ihn [Enkl. Pron. sg.3.m.],,,0.0,"['𓇓', '𓏲']","['complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",4,4,IBUBd4gCQ2YgR0RRhOvMkl6fKFU,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",855548,ḥr,PREP,,mittels; durch (etwas); [instrumental],,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",4,5,IBUBd5WW39QXWENOqOgWLY3LgW8,ꞽwf,ꞽwf,𓇋𓏲𓆑𓐰𓄹𓏪,𓇋𓏲𓆑𓄹𓏪,"['𓇋', '𓏲', '𓆑', '𓄹', '𓏪']",22520,ꞽwf,NOUN,,Fleisch; Körper,,,0.0,"['𓇋', '𓏲', '𓆑', '𓄹', '𓏪']","['complete', 'complete', 'complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",4,7,IBUBdWGMEp5ZOUSYgUDjw24Q4AU,[wꜣḏ],wꜣḏ,[<shortText>…</shortText>],[…],"['[', '…', ']']",600304,wꜣḏ,ADJ,,grün; frisch; jung,,,1.0,['…'],['missing']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",4,8,IBUBd37HJQDUAkJrldonczah2Xw,[hrw],hrw,[<shortText>…</shortText>],[…],"['[', '…', ']']",99060,hrw,NOUN,,Tag,,,1.0,['…'],['missing']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",4,9,IBUBd1zKayWsg0pFjuZgT57M0dU,[t]⸢p.ꞽ⸣,tp.ꞽ,[<shortText>…</shortText>]⸢𓊪𓐰𓏭⸣,[…]𓊪𓏭,"['[', '…', ']', '𓊪', '𓏭']",171460,tp.ꞽ,ADJ,,erster,,,0.3333333333333333,"['…', '𓊪', '𓏭']","['missing', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,1,IBUBdzz8ZhzDH0Q1gP2OAzhQDEs,srwḫ,srwḫ,𓋴𓑕𓂋𓏲𓐍𓐰𓂝,𓋴𓑕𓂋𓏲𓐍𓂝,"['𓋴', '\U00013455', '𓂋', '𓏲', '𓐍', '𓂝']",139310,srwḫ,VERB,,behandeln; pflegen,,,0.1,"['𓋴', '𓂋', '𓏲', '𓐍', '𓂝']","['damaged', 'complete', 'complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,2,IBUBdWWyAYqLgUULj5AXSTXGL3E,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,3,IBYDIEWtVsH4t0zymR8AXgAAUBk,⟨sw⟩,sw,,,[],129490,sw,PRON,,er [Enkl. Pron. sg.3.m.]; sich [Enkl. Pron. sg.3.m.]; ihn [Enkl. Pron. sg.3.m.],,,0.0,[],[]
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,4,IBUBdx6hIO4BV0BFkkIcHj5PIEI,m-ḫt,m-ḫt,𓅓𓆱𓐰𓐍𓐱𓏏𓑕𓂻,𓅓𓆱𓐍𓏏𓑕𓂻,"['𓅓', '𓆱', '𓐍', '𓏏', '\U00013455', '𓂻']",65310,m-ḫt,ADV,,danach; dahinter,,,0.1,"['𓅓', '𓆱', '𓐍', '𓏏', '𓂻']","['complete', 'complete', 'complete', 'damaged', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,5,IBUBdzIRQIfwuEsLpil44Q2V0bE,m,m,𓅓,𓅓,['𓅓'],64364,m,PREP,,mittels; durch (etwas); [instrumental],,,0.0,['𓅓'],['complete']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,6,IBUBd5H6DF9CGEBzpiS9W1vyv64,mrḥ.t,mrḥ.t,𓌻𓐰𓂋𓎛𓏏𓐰𓏊𓏪,𓌻𓂋𓎛𓏏𓏊𓏪,"['𓌻', '𓂋', '𓎛', '𓏏', '𓏊', '𓏪']",72840,mrḥ.t,NOUN,,Fett (allg.); Salböl,,,0.0,"['𓌻', '𓂋', '𓎛', '𓏏', '𓏊', '𓏪']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,7,IBUBdx6OFVg1IkcllH3BkWz9zCM,[bꞽ.t],bꞽ.t,[<shortText>…</shortText>],[…],"['[', '…', ']']",54210,bꞽ.t,NOUN,,Honig,,,1.0,['…'],['missing']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,8,IBUBd71wpD6s5kjRmuNmO2XHYIQ,ftt,ftt,𓆑𓑕𓐰𓏏𓐱𓏏𓄦,𓆑𓑕𓏏𓏏𓄦,"['𓆑', '\U00013455', '𓏏', '𓏏', '𓄦']",64200,ftt,NOUN,,"[pflanzlicher Faserstoff (Faserbausch, gezupftes Leinen)]",,,0.125,"['𓆑', '𓏏', '𓏏', '𓄦']","['damaged', 'complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,9,IBUBd0s9kV8PfUoavoSxeGkw8d0,rꜥ-nb,rꜥ-nb,𓇳𓏤𓎟,𓇳𓏤𓎟,"['𓇳', '𓏤', '𓎟']",93320,rꜥw-nb,ADV,,jeden Tag; täglich,,,0.0,"['𓇳', '𓏤', '𓎟']","['complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,10,IBUBd1STDWK4vkQZoZDqWm4PyhM,r,r,𓂋,𓂋,['𓂋'],91910,r,PREP,,so dass; bis dass (Konjunktion),,,0.0,['𓂋'],['complete']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,11,IBUBd2AE30ArsEOKllNkylM0Kw0,nḏm,nḏm,𓇛𓅓𓏛,𓇛𓅓𓏛,"['𓇛', '𓅓', '𓏛']",500020,nḏm,VERB,,süß sein; angenehm sein; froh sein,,,0.0,"['𓇛', '𓅓', '𓏛']","['complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",5,12,IBUBd8rsZ65nY0PeoORpmoBhdIs,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",6,1,IBUBdyAtcOCmoUBptEJNW5VWoAg,ꞽr,ꞽr,𓇋𓂋,𓇋𓂋,"['𓇋', '𓂋']",28160,ꞽr,PREP,,was anbetrifft (vorangestellt zur Betonung eines Satzgliedes),,,0.0,"['𓇋', '𓂋']","['complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",6,2,IBUBd8XXWcEahELUqSHQgbxdKnY,ḫꜣi̯,ḫꜣi̯,𓂡,𓂡,['𓂡'],113400,ḫꜣi̯,VERB,,untersuchen (med.),,,0.0,['𓂡'],['complete']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",6,3,IBUBd6nWfmSdg0C0rC6sV9eBTWY,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",6,4,IBUBd45GCwpS20fYjLWY1srdWCE,z,z,𓊃𓐰𓀀𓑕𓐱𓏤𓑕,𓊃𓀀𓑕𓏤𓑕,"['𓊃', '𓀀', '\U00013455', '𓏤', '\U00013455']",125010,z,NOUN,,Mann; Person; Wesen,,,0.3333333333333333,"['𓊃', '𓀀', '𓏤']","['complete', 'damaged', 'damaged']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",6,5,IBUBd1Os4BVWsEYUp5pl18EAZik,ꞽp,ꞽp,𓇋𓑕𓊪𓐰𓏛,𓇋𓑕𓊪𓏛,"['𓇋', '\U00013455', '𓊪', '𓏛']",24070,ꞽp,VERB,,zählen; zuweisen; (jmdn.) erkennen,,,0.16666666666666666,"['𓇋', '𓊪', '𓏛']","['damaged', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",6,6,IBUBd3KmsKCuFkURjrpOR4ubxiU,mn,mn,𓏠𓐰𓈖𓀀,𓏠𓈖𓀀,"['𓏠', '𓈖', '𓀀']",69610,mn,NOUN,,Der und Der; N.N.; Herr (allg.),,,0.0,"['𓏠', '𓈖', '𓀀']","['complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",6,8,IBUBd013lownPkuylWDVLUHhPNk,[pw],pw,[<shortText>…</shortText>],[…],"['[', '…', ']']",59741,pw,PRON,,[Zweitnomen (zweigliedriger NS)]; [Kopula (dreigliedriger NS)],,,1.0,['…'],['missing']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",6,9,IBUBd6623xuWJEtWuJiBYzdsHb8,[…],[…],,[],[…],,,,,,,,0.0,[],[]
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",7,1,IBUBd3gwsSfYjk3al3WQDmfBMII,[…],[…],,[],[…],,,,,,,,0.0,[],[]
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",7,2,IBUBd8rL3QKrv0FKgIwDdkmMMT0,⸮[mꞽ]?,mꞽ,[<shortText>…</shortText>],[…],"['[', '…', ']']",67820,mꞽ,PREP,,wie,,,1.0,['…'],['missing']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",7,3,IBUBd07HNGIGBU5HhPDKX98bcFs,⸮[ꞽ]p?,ꞽp,[<shortText>…</shortText>]𓊪𓑕𓐰𓏛𓑕,[…]𓊪𓑕𓏛𓑕,"['[', '…', ']', '𓊪', '\U00013455', '𓏛', '\U00013455']",24070,ꞽp,VERB,,zählen; zuweisen; (jmdn.) erkennen,,,0.6666666666666666,"['…', '𓊪', '𓏛']","['missing', 'damaged', 'damaged']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",7,4,IBUBdzWv6irAfEHItwF1DthKdXs,(ꞽ)ḫ.t,ꞽḫ.t,𓐍𓐰𓏏𓏛𓐰𓏥,𓐍𓏏𓏛𓏥,"['𓐍', '𓏏', '𓏛', '𓏥']",30750,ꞽḫ.t,NOUN,,Sache; Besitz; Speisen; Opfer; Reliquie,,,0.0,"['𓐍', '𓏏', '𓏛', '𓏥']","['complete', 'complete', 'complete', 'complete']"
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",7,5,IBUBd9QIfV1E8kUluOWMbSqsDp8,m,m,𓅓,𓅓,['𓅓'],64364,m,PREP,,mittels; durch (etwas); [instrumental],,,0.0,['𓅓'],['complete']
MXIKFZQQA5FEBCWBT4USMABY44,"Medizinische Texte || pEdwin Smith || 1.1-9.18: Wundenbuch, Kopfverletzungen (Fall 1-27)",7,6,IBUBd90nWzNe2E9rkhZdmotQ5zI,ꞽp.t,ꞽp.t,𓇋𓊪𓐰𓏏𓌽,𓇋𓊪𓏏𓌽,"['𓇋', '𓊪', '𓏏', '𓌽']",24120,ꞽp.t,NOUN,,Oipe (Hohlmaß); [ein Messgefäß],,,0.0,"['𓇋', '𓊪', '𓏏', '𓌽']","['complete', 'complete', 'complete', 'complete']"
