,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
35514,Q007579.3.1,u,[x],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,3,1
35515,Q007579.3.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007579,3,2
35516,Q007579.3.3,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007579,3,3
35517,Q007579.3.4,u,[x],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,3,4
35518,Q007579.3.5,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007579,3,5
35519,Q007579.3.6,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,3,6
35520,Q007579.4.1,dīktašu[defeat]N,[di]-⸢ik⸣-ta-šu₂,dīktašu,dīktu,defeat,N,"['𒁲', '𒅅', '𒋫', '𒋙']",𒁲𒅅𒋫𒋙,[di]-⸢ik⸣-ta-šu₂,"['missing', 'damaged', 'complete', 'complete']",0.38,,Q007579,4,1
35521,Q007579.4.2,maʾassu[much]AJ,ma-aʾ-[as-su,maʾassu,mādu,much,AJ,"['𒈠', '𒀪', '𒊍', '𒋢']",𒈠𒀪𒊍𒋢,ma-aʾ-[as-su],"['complete', 'complete', 'missing', 'missing']",0.5,,Q007579,4,2
35522,Q007579.4.3,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,4,3
35523,Q007579.5.1,u,[x],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,5,1
35524,Q007579.5.2,mār[son]N,DUMU,mār,māru,son,N,['𒌉'],𒌉,DUMU,['complete'],0.0,,Q007579,5,2
35525,Q007579.5.3,ṣīt[issue]N,ṣi-it,ṣīt,ṣītu,issue,N,"['𒍢', '𒀉']",𒍢𒀉,ṣi-it,"['complete', 'complete']",0.0,,Q007579,5,3
35526,Q007579.5.4,libbišu[interior]N,⸢lib₃⸣-[bi-šu₂,libbišu,libbu,interior,N,"['𒊮', '𒁉', '𒋙']",𒊮𒁉𒋙,⸢lib₃⸣-[bi-šu₂],"['damaged', 'missing', 'missing']",0.83,,Q007579,5,4
35527,Q007579.5.5,u,...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,5,5
35528,Q007579.6.1,u,[(x)],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,6,1
35529,Q007579.6.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007579,6,2
35530,Q007579.6.3,pāhāt[governor]N,pa-ha-at,pāhāt,pīhātu,governor,N,"['𒉺', '𒄩', '𒀜']",𒉺𒄩𒀜,pa-ha-at,"['complete', 'complete', 'complete']",0.0,,Q007579,6,3
35531,Q007579.6.4,u,x,,,,u,['x'],x,x,['complete'],0.0,,Q007579,6,4
35532,Q007579.6.5,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,6,5
35533,Q007579.7.1,u,[x],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,7,1
35534,Q007579.7.2,nišī[people]N,UN.MEŠ,nišī,nišu,people,N,"['𒌦', '𒎌']",𒌦𒎌,UN.MEŠ,"['complete', 'complete']",0.0,,Q007579,7,2
35535,Q007579.7.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,Q007579,7,3
35536,Q007579.9.1,anāku[I]IP,⸢a-na⸣-ku,anāku,anāku,I,IP,"['𒀀', '𒈾', '𒆪']",𒀀𒈾𒆪,⸢a-na⸣-ku,"['damaged', 'damaged', 'complete']",0.33,,Q007579,9,1
