,langs,project,cdli_id,collection,credits,date_of_origin,designation,display_name,dynastic_seat,exemplars,genre,id_composite,language,material,object_type,period,pleiades_id,popular_name,primary_publication,provenience,pleiades_coord,ruler,script,script_remarks,script_type,subgenre,supergenre,trans,id_text,seal_id,attribution
Q003414,0x08000000,rinap/rinap1,P463047,"Archäologisches Institut der Universität Zürich, Zurich, Switzerland","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003414/.",744-727,Tiglath-pileser III 01,RINAP 1 Tigl. III 01,Assyria,ZhArchSlg 1917 (+) ZhArchSlg 1918 (+) NA 12/76,Royal Inscription,Q003414,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 1 (A,1) / Ann. 1a+b",Tiglath-pileser III 01,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003415,0x08000000,rinap/rinap1,P463047,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003415/.",744-727,Tiglath-pileser III 02,RINAP 1 Tigl. III 02,Assyria,NA 12/76,Royal Inscription,Q003415,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 2 (A,2)",Tiglath-pileser III 02,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003416,0x08000000,rinap/rinap1,P463048,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003416/.",744-727,Tiglath-pileser III 03,RINAP 1 Tigl. III 03,Assyria,NA 09/76,Royal Inscription,Q003416,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 3 (A,3)",Tiglath-pileser III 03,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003417,0x08000000,rinap/rinap1,P463048,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003417/.",744-727,Tiglath-pileser III 04,RINAP 1 Tigl. III 04,Assyria,NA 09/76,Royal Inscription,Q003417,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 4 (A,4)",Tiglath-pileser III 04,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003418,0x08000000,rinap/rinap1,P463049,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003418/.",744-727,Tiglath-pileser III 05,RINAP 1 Tigl. III 05,Assyria,"BM 118934 (Layard, MS A pp. 113-114)",Royal Inscription,Q003418,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 5 (B,1) / Ann. 9",Tiglath-pileser III 05,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003419,0x08000000,rinap/rinap1,P463049,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003419/.",744-727,Tiglath-pileser III 06,RINAP 1 Tigl. III 06,Assyria,"BM 118934 (Layard, MS A p. 114)",Royal Inscription,Q003419,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 6 (B,2) / Ann. 10",Tiglath-pileser III 06,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003420,0x08000000,rinap/rinap1,P463050,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003420/.",744-727,Tiglath-pileser III 07,RINAP 1 Tigl. III 07,Assyria,"BM 118933 (Layard, MS A pp. 111-112)",Royal Inscription,Q003420,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 7 (B,3) / Ann. 11",Tiglath-pileser III 07,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003421,0x08000000,rinap/rinap1,P463050,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003421/.",744-727,Tiglath-pileser III 08,RINAP 1 Tigl. III 08,Assyria,"BM 118933 (Layard, MS A p. 112)",Royal Inscription,Q003421,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 8 (B,4) / Ann. 12",Tiglath-pileser III 08,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003422,0x08000000,rinap/rinap1,P463051,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003422/.",744-727,Tiglath-pileser III 09,RINAP 1 Tigl. III 09,Assyria,"Layard, MS A pp. 69-70 (Rawlinson, Notebook 1 fols. 123r-122v)",Royal Inscription,Q003422,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 9 (C,1) / Ann. 17",Tiglath-pileser III 09,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003423,0x08000000,rinap/rinap1,P463052,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003423/.",744-727,Tiglath-pileser III 10,RINAP 1 Tigl. III 10,Assyria,"Layard, MS A p. 51 (Layard, ICC p. 45 bottom, left)",Royal Inscription,Q003423,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 10 (C,2) / Ann. 20",Tiglath-pileser III 10,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003424,0x08000000,rinap/rinap1,P463052,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003424/.",744-727,Tiglath-pileser III 11,RINAP 1 Tigl. III 11,Assyria,"Layard, MS A p. 50 (Layard, ICC p. 45 bottom, middle)",Royal Inscription,Q003424,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 11 (C,3) / Ann. 21",Tiglath-pileser III 11,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003425,0x08000000,rinap/rinap1,P463053,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003425/.",744-727,Tiglath-pileser III 12,RINAP 1 Tigl. III 12,Assyria,"BM 000123 (G. Smith, Notebook 5 fols. 11v-12r and 57v-58r; G. Smith, Notebook 12 fols. 1v-2r)",Royal Inscription,Q003425,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 12 (C,4) / Ann. 25",Tiglath-pileser III 12,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003426,0x08000000,rinap/rinap1,P463054,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003426/.",744-727,Tiglath-pileser III 13,RINAP 1 Tigl. III 13,Assyria,"Layard, MS A pp. 114-115 (Layard, ICC p. 65; Rawlinson, Notebook 1, fols. 120r-119v; G. Smith, Notebook 17 fol. 82r; G. Smith, Notebook 5 fols. 57v-60r)",Royal Inscription,Q003426,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 13 (C,5) / Ann. 19*",Tiglath-pileser III 13,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003427,0x08000000,rinap/rinap1,P463055,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003427/.",744-727,Tiglath-pileser III 14,RINAP 1 Tigl. III 14,Assyria,"BM 124961 (+) Layard, MS A p. 110",Royal Inscription,Q003427,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 14 (B,5) / Ann. 13*",Tiglath-pileser III 14,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003428,0x08000000,rinap/rinap1,P463055,"British Museum, London, UK; Detroit Institute of the Arts, Detroit, Michigan, USA","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003428/.",744-727,Tiglath-pileser III 15,RINAP 1 Tigl. III 15,Assyria,"BM 124961 (+) DIA 50, 32 (Layard, MS A pp. 66-67 and 111)",Royal Inscription,Q003428,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 15 (B,6) / Ann. 14*",Tiglath-pileser III 15,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003429,0x08000000,rinap/rinap1,P463055,"British Museum, London, UK; Detroit Institute of the Arts, Detroit, Michigan, USA","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003429/.",744-727,Tiglath-pileser III 16,RINAP 1 Tigl. III 16,Assyria,"BM 124961 (+) DIA 50, 32 (Layard, MS A p. 67; Layard, ICC pp. 67 bottom-68 top)",Royal Inscription,Q003429,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 16 (B,7) / Ann. 15",Tiglath-pileser III 16,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003430,0x08000000,rinap/rinap1,P463056,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003430/.",744-727,Tiglath-pileser III 17,RINAP 1 Tigl. III 17,Assyria,"BM 118905 (Layard, MS A p. 129)",Royal Inscription,Q003430,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 17 (B,8) / Ann. 16",Tiglath-pileser III 17,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q003431,0x08000000,rinap/rinap1,P466003,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003431/.",744-727,Tiglath-pileser III 18,RINAP 1 Tigl. III 18,Assyria,"BM 118908 (Layard, MS C; 3 R pl. 10 no. 1a)",Royal Inscription,Q003431,Akkadian,stone,wall slab (with reliefs),Neo-Assyrian,894019,"Unit 18 (A,8) / Ann. 5",Tiglath-pileser III 18,Nimrud (Kalhu),"[43.3275,36.099167]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
