id,group,addressee
b01_h001,Hymns of Madhucchandas,Agni
b01_h002,Hymns of Madhucchandas,"Vayu, Indra and Vayu, Mitra and Varuna"
b01_h003,Hymns of Madhucchandas,"Asvins, Indra, All the Gods and Sarasvati"
b01_h004,Hymns of Madhucchandas,Indra
b01_h005,Hymns of Madhucchandas,Indra
b01_h006,Hymns of Madhucchandas,Indra
b01_h007,Hymns of Madhucchandas,Indra
b01_h008,Hymns of Madhucchandas,Indra
b01_h009,Hymns of Madhucchandas,Indra
b01_h010,Hymns of Madhucchandas,Indra
b01_h011,Hymns of Madhucchandas,Indra
b01_h012,Hymns of Medhatithi,Agni
b01_h013,Hymns of Medhatithi,Apri Hymn
b01_h014,Hymns of Medhatithi,All the Gods
b01_h015,Hymns of Medhatithi,Cycle of the Gods
b01_h016,Hymns of Medhatithi,Indra
b01_h017,Hymns of Medhatithi,Indra and Varuna
b01_h018,Hymns of Medhatithi,Brahmanaspati and Sadasaspati
b01_h019,Hymns of Medhatithi,Agni and the Maruts
b01_h020,Hymns of Medhatithi,The Ribhus
b01_h021,Hymns of Medhatithi,Indra and Agni
b01_h022,Hymns of Medhatithi,Diverse Gods
b01_h023,Hymns of Medhatithi,Diverse Gods
b01_h024,Hymns of Medhatithi,"Agni, Savitri and Varuna"
b01_h025,Hymns of Medhatithi,Varuna
b01_h026,Hymns of Medhatithi,Agni
b01_h027,Hymns of Medhatithi,Agni
b01_h028,Hymns of Medhatithi,The Simplified Pressing of Soma
b01_h029,Hymns of Medhatithi,Indra
b01_h030,Hymns of Medhatithi,"Indra, Final Verses Asvins and Usas"
b01_h031,Hymns of Medhatithi,Agni
b01_h032,Hymns of Medhatithi,Indra
b01_h033,Hymns of Medhatithi,Indra
b01_h034,Hymns of Medhatithi,Asvins
b01_h035,Hymns of Medhatithi,Savitri
b01_h036,Hymns of Kanva,Agni
b01_h037,Hymns of Kanva,The Maruts
b01_h038,Hymns of Kanva,The Maruts
b01_h039,Hymns of Kanva,The Maruts
b01_h040,Hymns of Kanva,Brahmanaspati
b01_h041,Hymns of Kanva,Adityas
b01_h042,Hymns of Kanva,Pusan
b01_h043,Hymns of Kanva,Rudra and Soma
b01_h044,Hymns of Praskanva,Agni
b01_h045,Hymns of Praskanva,Agni
b01_h046,Hymns of Praskanva,Asvins
b01_h047,Hymns of Praskanva,Asvins
b01_h048,Hymns of Praskanva,Usas
b01_h049,Hymns of Praskanva,Usas
b01_h050,Hymns of Praskanva,Surya
b01_h051,Hymns of Savya,Indra
b01_h052,Hymns of Savya,Indra
b01_h053,Hymns of Savya,Indra
b01_h054,Hymns of Savya,Indra
b01_h055,Hymns of Savya,Indra
b01_h056,Hymns of Savya,Indra
b01_h057,Hymns of Savya,Indra
b01_h058,"Hymns of Nodhas, Descendant of Gotama",Agni
b01_h059,"Hymns of Nodhas, Descendant of Gotama",Agni Vaisvanara
b01_h060,"Hymns of Nodhas, Descendant of Gotama",Agni
b01_h061,"Hymns of Nodhas, Descendant of Gotama",Indra
b01_h062,"Hymns of Nodhas, Descendant of Gotama",Indra
b01_h063,"Hymns of Nodhas, Descendant of Gotama",Indra
b01_h064,"Hymns of Nodhas, Descendant of Gotama",The Maruts
b01_h065,"Hymns of Parasa, the Son of Sakti",Agni
b01_h066,"Hymns of Parasa, the Son of Sakti",Agni
b01_h067,"Hymns of Parasa, the Son of Sakti",Agni
b01_h068,"Hymns of Parasa, the Son of Sakti",Agni
b01_h069,"Hymns of Parasa, the Son of Sakti",Agni
b01_h070,"Hymns of Parasa, the Son of Sakti",Agni
b01_h071,"Hymns of Parasa, the Son of Sakti",Agni
b01_h072,"Hymns of Parasa, the Son of Sakti",Agni
b01_h073,"Hymns of Parasa, the Son of Sakti",Agni
b01_h074,"Hymns of Gotama, the Son of Rahugana",Agni
